LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 230.0, 38560.0, 338688, 257.0, 38618.0, 42336, 511.0, 39101.0, 401408, -3046.0, 32155.0, 158648, -131.0, -1.0, 864, 3703.0, 39133.0, 401663,
1, 1.0, 73121.0, 3484800, 257.0, 73153.0, 13824, 511.0, 73443.0, 24200, -3275.0, 69032.0, 517362, -66.0, -1.0, 288, 73631.0, 73725.0, 24200,
2, 225.0, 40096.0, 401408, 257.0, 40191.0, 100352, 511.0, 40669.0, 802816, -3051.0, 39266.0, 401408, -262.0, -1.0, 2048, 2171.0, 40733.0, 803071,
3, 1.0, 29402.0, 1806336, 257.0, 29466.0, 7488, 511.0, 29720.0, 9408, -3275.0, 26330.0, 1732988, -66.0, -1.0, 576, 29912.0, 29948.0, 9408,
4, 193.0, 10984.0, 200704, 257.0, 11175.0, 106496, 511.0, 11429.0, 401408, -3083.0, 10090.0, 200704, -852.0, -1.0, 8192, 1405.0, 11653.0, 401663,
5, 1.0, 45509.0, 3359232, 257.0, 45637.0, 13824, 511.0, 45863.0, 14580, -3275.0, 41674.0, 3269898, -131.0, -1.0, 1152, 46019.0, 46075.0, 14580,
6, 129.0, 10984.0, 401408, 257.0, 11239.0, 212992, 511.0, 11429.0, 401408, -3147.0, 10090.0, 401408, -1703.0, -1.0, 16384, 1405.0, 11653.0, 401663,
7, 1.0, 13295.0, 903168, 257.0, 14957.0, 4608, 511.0, 15099.0, 3920, -3275.0, 11610.0, 825263, -131.0, -1.0, 1152, 15339.0, 15354.0, 3920,
8, 129.0, 3322.0, 100352, 257.0, 3705.0, 131072, 511.0, 3847.0, 200704, -3147.0, 2300.0, 100352, -3019.0, 3694.0, 131072, 766.0, 4103.0, 200959,
9, 1.0, 20198.0, 1557504, 257.0, 20454.0, 6912, 511.0, 20616.0, 6084, -3275.0, 20087.0, 1557504, -262.0, -1.0, 2304, 20708.0, 20731.0, 6084,
10, 1.0, 3322.0, 200704, 257.0, 3833.0, 262144, 511.0, 3847.0, 200704, -3275.0, 2300.0, 200704, -3019.0, 3817.0, 262144, 766.0, 4103.0, 200959,
11, 1.0, 6392.0, 451584, 257.0, 6648.0, 2304, 511.0, 6842.0, 1764, -3275.0, 6365.0, 430336, -262.0, -1.0, 2304, 6902.0, 6908.0, 1764,
12, 1.0, 256.0, 50176, 257.0, 1023.0, 131072, 511.0, 1217.0, 100352, -3275.0, 168.0, 50176, -3019.0, 1012.0, 131072, 775.0, 1285.0, 100607,
13, 1.0, 13295.0, 663552, 257.0, 13551.0, 4608, 511.0, 13693.0, 2592, -3275.0, 13236.0, 663552, -524.0, -1.0, 4608, 13805.0, 13815.0, 2592,
14, 1.0, 1534.0, 100352, 257.0, 2301.0, 262144, 511.0, 2495.0, 200704, -3275.0, 1524.0, 100352, -3019.0, 2285.0, 262144, 775.0, 2571.0, 200959,
15, 1.0, 13295.0, 663552, 257.0, 13551.0, 4608, 511.0, 13693.0, 2592, -3275.0, 13236.0, 663552, -524.0, -1.0, 4608, 13805.0, 13815.0, 2592,
16, 1.0, 1534.0, 100352, 257.0, 2301.0, 262144, 511.0, 2495.0, 200704, -3275.0, 1524.0, 100352, -3019.0, 2285.0, 262144, 775.0, 2571.0, 200959,
17, 1.0, 13295.0, 663552, 257.0, 13551.0, 4608, 511.0, 13693.0, 2592, -3275.0, 13236.0, 663552, -524.0, -1.0, 4608, 13805.0, 13815.0, 2592,
18, 1.0, 1534.0, 100352, 257.0, 2301.0, 262144, 511.0, 2495.0, 200704, -3275.0, 1524.0, 100352, -3019.0, 2285.0, 262144, 775.0, 2571.0, 200959,
19, 1.0, 13295.0, 663552, 257.0, 13551.0, 4608, 511.0, 13693.0, 2592, -3275.0, 13236.0, 663552, -524.0, -1.0, 4608, 13805.0, 13815.0, 2592,
20, 1.0, 1534.0, 100352, 257.0, 2301.0, 262144, 511.0, 2495.0, 200704, -3275.0, 1524.0, 100352, -3019.0, 2285.0, 262144, 775.0, 2571.0, 200959,
21, 1.0, 13295.0, 663552, 257.0, 13551.0, 4608, 511.0, 13693.0, 2592, -3275.0, 13236.0, 663552, -524.0, -1.0, 4608, 13805.0, 13815.0, 2592,
22, 1.0, 1534.0, 100352, 257.0, 2301.0, 262144, 511.0, 2495.0, 200704, -3275.0, 1524.0, 100352, -3019.0, 2285.0, 262144, 775.0, 2571.0, 200959,
23, 1.0, 13295.0, 225792, 257.0, 13551.0, 4608, 511.0, 13598.0, 882, -3275.0, 13065.0, 204800, -524.0, -1.0, 4608, 13805.0, 13808.0, 882,
24, 1.0, 2046.0, 25088, 257.0, 3325.0, 524288, 511.0, 3372.0, 100352, -2555.0, -1.0, 25088, -3019.0, 3302.0, 524288, 1203.0, 3587.0, 100607,
25, 1.0, 27101.0, 82944, 257.0, 27357.0, 9216, 511.0, 27364.0, 324, -3275.0, 23802.0, 76800, -983.0, -1.0, 9216, 27611.0, 27612.0, 324,
26, 1.0, 5626.0, 50176, 257.0, 6905.0, 1048576, 511.0, 6952.0, 200704, -3275.0, 3737.0, 50176, -3019.0, 6872.0, 1048576, 1203.0, 7175.0, 200959,
