LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 33.0, 12592.0, 338688, 6.0, 32.0, 864, 63.0, 12637.0, 401408, -3243.0, 10762.0, 152888, -131.0, -1.0, 864, 1102.0, 12893.0, 401439,
1, 33.0, 109715.0, 3484800, 1.0, 97584.0, 288, 63.0, 109714.0, 108900, -3243.0, 109284.0, 3484800, -66.0, -1.0, 288, 33019.0, 110077.0, 108931,
2, 33.0, 25245.0, 802816, 1.0, 12670.0, 2048, 63.0, 25275.0, 802816, -3243.0, 24704.0, 802816, -262.0, -1.0, 2048, 1102.0, 25787.0, 802847,
3, 33.0, 58052.0, 1806336, 1.0, 54942.0, 576, 63.0, 58108.0, 56448, -3243.0, 57516.0, 1784896, -66.0, -1.0, 576, 33771.0, 58879.0, 56479,
4, 33.0, 25809.0, 802816, 1.0, 22642.0, 8192, 63.0, 25839.0, 802816, -3243.0, 25268.0, 802816, -852.0, -1.0, 8192, 1102.0, 26351.0, 802847,
5, 33.0, 108329.0, 3359232, 1.0, 105382.0, 1152, 63.0, 108328.0, 104976, -3243.0, 107729.0, 3359232, -131.0, -1.0, 1152, 33865.0, 108568.0, 105007,
6, 33.0, 51649.0, 1605632, 1.0, 48482.0, 16384, 63.0, 51679.0, 1605632, -3243.0, 51606.0, 1605632, -1703.0, -1.0, 16384, 1102.0, 52703.0, 1605663,
7, 33.0, 31548.0, 903168, 1.0, 30762.0, 1152, 63.0, 31576.0, 28224, -3243.0, 30430.0, 881792, -131.0, -1.0, 1152, 31607.0, 32488.0, 28224,
8, 33.0, 28065.0, 802816, 1.0, 27250.0, 32768, 63.0, 28095.0, 802816, -3243.0, 27524.0, 802816, -3275.0, 27250.0, 32768, 1196.0, 28607.0, 802847,
9, 33.0, 55409.0, 1557504, 1.0, 54702.0, 2304, 63.0, 55408.0, 48672, -3243.0, 54824.0, 1557504, -262.0, -1.0, 2304, 37343.0, 55936.0, 48703,
10, 33.0, 56161.0, 1605632, 1.0, 55346.0, 65536, 63.0, 56191.0, 1605632, -3243.0, 56118.0, 1605632, -3275.0, 55345.0, 65536, 1196.0, 57215.0, 1605663,
11, 33.0, 20834.0, 451584, 1.0, 20622.0, 2304, 63.0, 20848.0, 14112, -3243.0, 20665.0, 430336, -262.0, -1.0, 2304, 20879.0, 21319.0, 14112,
12, 33.0, 37089.0, 802816, 1.0, 36862.0, 131072, 63.0, 37119.0, 802816, -3243.0, 36360.0, 802816, -3275.0, 36860.0, 131072, 1572.0, 37631.0, 802847,
13, 33.0, 34241.0, 663552, 1.0, 34066.0, 4608, 63.0, 34240.0, 20736, -3243.0, 33865.0, 663552, -524.0, -1.0, 4608, 34271.0, 34918.0, 20736,
14, 33.0, 74209.0, 1605632, 1.0, 73982.0, 262144, 63.0, 74239.0, 1605632, -3243.0, 74166.0, 1605632, -3275.0, 73978.0, 262144, 1572.0, 75263.0, 1605663,
15, 33.0, 34241.0, 663552, 1.0, 34066.0, 4608, 63.0, 34240.0, 20736, -3243.0, 33865.0, 663552, -524.0, -1.0, 4608, 34271.0, 34918.0, 20736,
16, 33.0, 74209.0, 1605632, 1.0, 73982.0, 262144, 63.0, 74239.0, 1605632, -3243.0, 74166.0, 1605632, -3275.0, 73978.0, 262144, 1572.0, 75263.0, 1605663,
17, 33.0, 34241.0, 663552, 1.0, 34066.0, 4608, 63.0, 34240.0, 20736, -3243.0, 33865.0, 663552, -524.0, -1.0, 4608, 34271.0, 34918.0, 20736,
18, 33.0, 74209.0, 1605632, 1.0, 73982.0, 262144, 63.0, 74239.0, 1605632, -3243.0, 74166.0, 1605632, -3275.0, 73978.0, 262144, 1572.0, 75263.0, 1605663,
19, 33.0, 34241.0, 663552, 1.0, 34066.0, 4608, 63.0, 34240.0, 20736, -3243.0, 33865.0, 663552, -524.0, -1.0, 4608, 34271.0, 34918.0, 20736,
20, 33.0, 74209.0, 1605632, 1.0, 73982.0, 262144, 63.0, 74239.0, 1605632, -3243.0, 74166.0, 1605632, -3275.0, 73978.0, 262144, 1572.0, 75263.0, 1605663,
21, 33.0, 34241.0, 663552, 1.0, 34066.0, 4608, 63.0, 34240.0, 20736, -3243.0, 33865.0, 663552, -524.0, -1.0, 4608, 34271.0, 34918.0, 20736,
22, 33.0, 74209.0, 1605632, 1.0, 73982.0, 262144, 63.0, 74239.0, 1605632, -3243.0, 74166.0, 1605632, -3275.0, 73978.0, 262144, 1572.0, 75263.0, 1605663,
23, 33.0, 20553.0, 225792, 1.0, 20481.0, 4608, 63.0, 20560.0, 7056, -3243.0, 19530.0, 204800, -524.0, -1.0, 4608, 20591.0, 20811.0, 7056,
24, 33.0, 73185.0, 802816, 1.0, 73105.0, 524288, 63.0, 73215.0, 802816, -2555.0, -1.0, 25088, -3275.0, 73096.0, 524288, 2985.0, 73727.0, 802847,
25, 33.0, 29633.0, 82944, 1.0, 29593.0, 9216, 63.0, 29632.0, 2592, -3243.0, 25605.0, 76800, -983.0, -1.0, 9216, 29663.0, 29743.0, 2592,
26, 33.0, 146401.0, 1605632, 1.0, 146321.0, 1048576, 63.0, 146431.0, 1605632, -3243.0, 146358.0, 1605632, -3275.0, 146303.0, 1048576, 2985.0, 147455.0, 1605663,
