LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 1023125, 0, 77.26654449195684, 88.83015820577259, 77.26646897187491,
1, 871883, 0, 85.61882729678179, 88.88888888888764, 85.61872909698869,
2, 871883, 0, 85.61882729678179, 88.88888888888764, 85.61872909698869,
3, 871883, 0, 85.61882729678179, 88.88888888888764, 85.61872909698869,
4, 871883, 0, 85.61882729678179, 88.88888888888764, 85.61872909698869,
5, 434147, 0, 92.45900582060915, 95.99020508111383, 92.45879285405067,
6, 736097, 0, 94.03978008333141, 95.83554846712707, 94.03965232890287,
7, 67165, 0, 71.23286764766702, 95.71774078816298, 71.23180709816806,
8, 736097, 0, 94.03978008333141, 95.83554846712707, 94.03965232890287,
9, 736097, 0, 94.03978008333141, 95.83554846712707, 94.03965232890287,
10, 439075, 0, 91.4212833798326, 93.16696375519895, 91.4210751669417,
11, 614063, 0, 96.05268514794085, 96.96969696969701, 96.05252872664691,
12, 62699, 0, 81.65999457726599, 95.69377990430614, 81.65869218500806,
13, 614063, 0, 96.05268514794085, 96.96969696969701, 96.05252872664691,
14, 614063, 0, 96.05268514794085, 96.96969696969701, 96.05252872664691,
15, 500089, 0, 80.26731241838952, 81.03359173126614, 80.26715191265546,
16, 597269, 0, 68.57881457098895, 68.90611541774331, 68.5786997505316,
17, 71723, 0, 81.2211176640997, 88.19982773471149, 81.21998525210806,
18, 597269, 0, 68.57881457098895, 68.90611541774331, 68.5786997505316,
19, 597269, 0, 68.57881457098895, 68.90611541774331, 68.5786997505316,
20, 44855, 0, 7.926776402977495, 8.267195767195759, 7.9265996868993245,
