LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 946451, 0, 83.52607090418134, 83.76068376068375, 83.45033128894804,
1, 849599, 0, 87.86451019834062, 88.88888888888906, 87.53799392097265,
2, 849599, 0, 87.86451019834062, 88.88888888888906, 87.53799392097265,
3, 849599, 0, 87.86451019834062, 88.88888888888906, 87.53799392097265,
4, 849599, 0, 87.86451019834062, 88.88888888888906, 87.53799392097265,
5, 431903, 0, 92.93938685306655, 96.96969696969714, 91.7059619110275,
6, 749759, 0, 92.32620081919657, 96.96969696969663, 90.91749674274062,
7, 57749, 0, 82.84741823331237, 86.19528619528619, 81.81742177227494,
8, 749759, 0, 92.32620081919657, 96.96969696969663, 90.91749674274062,
9, 749759, 0, 92.32620081919657, 96.96969696969663, 90.91749674274062,
10, 485759, 0, 82.63521622862366, 96.96969696969663, 78.86332201684964,
11, 751871, 0, 78.4474996375708, 96.96969696969767, 73.88167388167065,
12, 62677, 0, 81.68865772133319, 94.0312213039486, 78.3593510866239,
13, 751871, 0, 78.4474996375708, 96.96969696969767, 73.88167388167065,
14, 751871, 0, 78.4474996375708, 96.96969696969767, 73.88167388167065,
15, 685247, 0, 58.57858553193228, 99.2248062015511, 51.723569190179596,
16, 974207, 0, 42.04445256500929, 99.22480620154897, 35.437430786269715,
17, 92707, 0, 62.83691870325026, 96.21799389241245, 56.49496889095709,
18, 974207, 0, 42.04445256500929, 99.22480620154897, 35.437430786269715,
19, 974207, 0, 42.04445256500929, 99.22480620154897, 35.437430786269715,
20, 126419, 0, 2.812516754250196, 98.43730773963338, 2.139941472600632,
