LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 832386.0, 1778700, 17.0, 832672.0, 7121856, 31.0, 832687.0, 7744000, -3275.0, 663963.0, 163472, -983.0, -1.0, 9408, 3551.0, 833371.0, 7744015,
1, 1.0, 724586.0, 1679616, 17.0, 724665.0, 6746112, 31.0, 724667.0, 6718464, -3275.0, 665074.0, 251650, -3259.0, 721209.0, 6746112, 3551.0, 724743.0, 6718479,
2, 1.0, 724586.0, 1679616, 17.0, 724665.0, 6746112, 31.0, 724667.0, 6718464, -3275.0, 665074.0, 251650, -3259.0, 721209.0, 6746112, 3551.0, 724743.0, 6718479,
3, 1.0, 724586.0, 1679616, 17.0, 724665.0, 6746112, 31.0, 724667.0, 6718464, -3275.0, 665074.0, 251650, -3259.0, 721209.0, 6746112, 3551.0, 724743.0, 6718479,
4, 1.0, 724586.0, 1679616, 17.0, 724665.0, 6746112, 31.0, 724667.0, 6718464, -3275.0, 665074.0, 251650, -3259.0, 721209.0, 6746112, 3551.0, 724743.0, 6718479,
5, 1.0, 304690.0, 451584, 17.0, 306921.0, 3612672, 31.0, 306935.0, 3612672, -3275.0, 279977.0, 212884, -3259.0, 306094.0, 3612672, 2815.0, 307447.0, 3612687,
6, 1.0, 538546.0, 778752, 17.0, 538689.0, 6340608, 31.0, 538691.0, 6230016, -3275.0, 447536.0, 119242, -3259.0, 537027.0, 6340608, 2815.0, 538959.0, 6230031,
7, 1.0, 35338.0, 53824, 17.0, 36873.0, 434176, 31.0, 36880.0, 430592, -3275.0, 22975.0, 50176, -852.0, -1.0, 8192, 2815.0, 37175.0, 430607,
8, 1.0, 538546.0, 778752, 17.0, 538689.0, 6340608, 31.0, 538691.0, 6230016, -3275.0, 447536.0, 119242, -3259.0, 537027.0, 6340608, 2815.0, 538959.0, 6230031,
9, 1.0, 538546.0, 778752, 17.0, 538689.0, 6340608, 31.0, 538691.0, 6230016, -3275.0, 447536.0, 119242, -3259.0, 537027.0, 6340608, 2815.0, 538959.0, 6230031,
10, 1.0, 275138.0, 225792, 17.0, 282657.0, 3833856, 31.0, 282659.0, 3612672, -3275.0, 237381.0, 108577, -3259.0, 282518.0, 3833856, 2447.0, 283183.0, 3612687,
11, 1.0, 391106.0, 331776, 17.0, 391377.0, 5308416, 31.0, 391391.0, 5308416, -3275.0, 247046.0, 54254, -3259.0, 391188.0, 5308416, 2447.0, 393439.0, 5308431,
12, 1.0, 33538.0, 28800, 17.0, 36225.0, 491520, 31.0, 36224.0, 460800, -2555.0, -1.0, 25088, -3259.0, 36201.0, 491520, 2447.0, 36367.0, 460815,
13, 1.0, 391106.0, 331776, 17.0, 391377.0, 5308416, 31.0, 391391.0, 5308416, -3275.0, 247046.0, 54254, -3259.0, 391188.0, 5308416, 2447.0, 393439.0, 5308431,
14, 1.0, 391106.0, 331776, 17.0, 391377.0, 5308416, 31.0, 391391.0, 5308416, -3275.0, 247046.0, 54254, -3259.0, 391188.0, 5308416, 2447.0, 393439.0, 5308431,
15, 1.0, 285154.0, 112896, 17.0, 321393.0, 4718592, 31.0, 321392.0, 3612672, -3275.0, 123891.0, 58368, -3259.0, 321224.0, 4718592, 2263.0, 321919.0, 3612687,
16, 1.0, 320866.0, 115200, 17.0, 321393.0, 4718592, 31.0, 321400.0, 3686400, -2555.0, -1.0, 25088, -3259.0, 321224.0, 4718592, 2263.0, 322431.0, 3686415,
17, 1.0, 35170.0, 16384, 17.0, 35697.0, 524288, 31.0, 35711.0, 524288, -1310.0, -1.0, 12544, -3259.0, 35672.0, 524288, 2263.0, 37759.0, 524303,
18, 1.0, 320866.0, 115200, 17.0, 321393.0, 4718592, 31.0, 321400.0, 3686400, -2555.0, -1.0, 25088, -3259.0, 321224.0, 4718592, 2263.0, 322431.0, 3686415,
19, 1.0, 320866.0, 115200, 17.0, 321393.0, 4718592, 31.0, 321400.0, 3686400, -2555.0, -1.0, 25088, -3259.0, 321224.0, 4718592, 2263.0, 322431.0, 3686415,
20, 1.0, 32442.0, 512, 17.0, 33457.0, 512000, 31.0, 33456.0, 32000, -66.0, -1.0, 512, -3259.0, 32107.0, 512000, 33471.0, 35470.0, 32000,
