LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 535907.0, 7114800, 1.0, 535941.0, 7121856, 146.0, 535955.0, 871296, -3275.0, 508995.0, 654506, -983.0, -1.0, 9408, 22802.0, 537251.0, 774415,
1, 1.0, 443565.0, 6718464, 1.0, 443577.0, 6746112, 575.0, 443591.0, 210048, -3275.0, 440529.0, 1027026, -3275.0, 333021.0, 41966, 78143.0, 445015.0, 186639,
2, 1.0, 443565.0, 6718464, 1.0, 443577.0, 6746112, 575.0, 443591.0, 210048, -3275.0, 440529.0, 1027026, -3275.0, 333021.0, 41966, 78143.0, 445015.0, 186639,
3, 1.0, 443565.0, 6718464, 1.0, 443577.0, 6746112, 575.0, 443591.0, 210048, -3275.0, 440529.0, 1027026, -3275.0, 333021.0, 41966, 78143.0, 445015.0, 186639,
4, 1.0, 443565.0, 6718464, 1.0, 443577.0, 6746112, 575.0, 443591.0, 210048, -3275.0, 440529.0, 1027026, -3275.0, 333021.0, 41966, 78143.0, 445015.0, 186639,
5, 1.0, 237344.0, 3612672, 1.0, 237537.0, 3612672, 575.0, 237551.0, 112896, -3275.0, 236153.0, 1711192, -3275.0, 178491.0, 83932, 78143.0, 237679.0, 100367,
6, 1.0, 406581.0, 6230016, 1.0, 406593.0, 6340608, 1151.0, 406607.0, 97536, -3275.0, 403911.0, 991646, -3275.0, 356685.0, 247682, 154821.0, 407919.0, 86543,
7, 1.0, 39648.0, 430592, 1.0, 39841.0, 434176, 63.0, 39855.0, 121216, -3275.0, 38844.0, 401408, -852.0, -1.0, 8192, 12118.0, 40439.0, 107663,
8, 1.0, 406581.0, 6230016, 1.0, 406593.0, 6340608, 1151.0, 406607.0, 97536, -3275.0, 403911.0, 991646, -3275.0, 356685.0, 247682, 154821.0, 407919.0, 86543,
9, 1.0, 406581.0, 6230016, 1.0, 406593.0, 6340608, 1151.0, 406607.0, 97536, -3275.0, 403911.0, 991646, -3275.0, 356685.0, 247682, 154821.0, 407919.0, 86543,
10, 1.0, 245444.0, 3612672, 1.0, 245841.0, 3833856, 1151.0, 245855.0, 56832, -3275.0, 243410.0, 1746042, -3275.0, 231393.0, 509682, 160736.0, 246943.0, 50191,
11, 1.0, 336081.0, 5308416, 1.0, 336081.0, 5308416, 2303.0, 336095.0, 41472, -3275.0, 335349.0, 922022, -3275.0, 335892.0, 5308416, 301055.0, 336351.0, 36879,
12, 1.0, 37732.0, 460800, 1.0, 37905.0, 491520, 127.0, 37919.0, 65280, -2555.0, -1.0, 25088, -3275.0, 35688.0, 34798, 21629.0, 39471.0, 57615,
13, 1.0, 336081.0, 5308416, 1.0, 336081.0, 5308416, 2303.0, 336095.0, 41472, -3275.0, 335349.0, 922022, -3275.0, 335892.0, 5308416, 301055.0, 336351.0, 36879,
14, 1.0, 336081.0, 5308416, 1.0, 336081.0, 5308416, 2303.0, 336095.0, 41472, -3275.0, 335349.0, 922022, -3275.0, 335892.0, 5308416, 301055.0, 336351.0, 36879,
15, 1.0, 297698.0, 3612672, 1.0, 298737.0, 4718592, 2303.0, 298751.0, 29184, -3275.0, 294604.0, 1980077, -3275.0, 298568.0, 4718592, 298751.0, 300318.0, 25088,
16, 1.0, 296810.0, 3686400, 1.0, 296817.0, 4718592, 4607.0, 296831.0, 14848, -2555.0, -1.0, 25088, -3275.0, 296648.0, 4718592, 296831.0, 297630.0, 12800,
17, 1.0, 36584.0, 524288, 1.0, 36593.0, 524288, 255.0, 36607.0, 36864, -1310.0, -1.0, 12544, -3275.0, 32298.0, 147384, 36607.0, 38654.0, 32768,
18, 1.0, 296810.0, 3686400, 1.0, 296817.0, 4718592, 4607.0, 296831.0, 14848, -2555.0, -1.0, 25088, -3275.0, 296648.0, 4718592, 296831.0, 297630.0, 12800,
19, 1.0, 296810.0, 3686400, 1.0, 296817.0, 4718592, 4607.0, 296831.0, 14848, -2555.0, -1.0, 25088, -3275.0, 296648.0, 4718592, 296831.0, 297630.0, 12800,
20, 1.0, 34116.0, 32256, 1.0, 34123.0, 512000, 526.0, 34137.0, 3016, -66.0, -1.0, 512, -3275.0, 32481.0, 512000, 34145.0, 34207.0, 1000,
