LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 299409, 0, 37.129394907968695, 91.66288753298153, 31.039284667252925,
1, 261647, 0, 40.12123204164389, 99.04891304347827, 33.54037267080773,
2, 261647, 0, 40.12123204164389, 99.04891304347827, 33.54037267080773,
3, 261647, 0, 40.12123204164389, 99.04891304347827, 33.54037267080773,
4, 261647, 0, 40.12123204164389, 99.04891304347827, 33.54037267080773,
5, 99899, 0, 56.50507012082203, 98.0, 49.58102766798396,
6, 175823, 0, 55.36477025190106, 96.02272727272727, 48.58066834351397,
7, 11987, 0, 56.12747142737966, 97.33796296296296, 49.24608402869276,
8, 175823, 0, 55.36477025190106, 96.02272727272727, 48.58066834351397,
9, 175823, 0, 55.36477025190106, 96.02272727272727, 48.58066834351397,
10, 88199, 0, 64.00072563180989, 87.5, 58.79265091863539,
11, 125999, 0, 65.82909388169747, 90.0, 60.47244094488191,
12, 11199, 0, 64.29145459416019, 87.890625, 59.05511811023621,
13, 125999, 0, 65.82909388169747, 90.0, 60.47244094488191,
14, 125999, 0, 65.82909388169747, 90.0, 60.47244094488191,
15, 87263, 0, 64.68720992860662, 76.5625, 61.538461538461675,
16, 87263, 0, 66.00735707000676, 78.125, 62.794348508634336,
17, 9695, 0, 84.49716348633316, 100.0, 80.3767660910518,
18, 87263, 0, 66.00735707000676, 78.125, 62.794348508634336,
19, 87263, 0, 66.00735707000676, 78.125, 62.794348508634336,
20, 17503, 0, 2.856653145175113, 3.125, 2.7777777777777786,
